的	d
我	w
是	u
了	l
你	n
在	z
和	h
都	dx
不	b
有	y
就	j
也	yl
好	hx
个	g
人	r
说	us
用	yy
他	t
这	v
来	ld
要	yv
去	q
会	hf
看	k
中	vk
想	x
没	m
啊	a
那	ni
吧	bl
给	gj
能	nf
对	df
上	ud
到	dv
多	ds
吗	ml
里	lg
被	bk
做	zp
又	yr
过	gp
让	rd
还	hd
她	tl
打	dm
把	bm
而	e
着	vr
大	di
从	c
它	tlb
写	xc
再	zo
字	zt
得	dr
搞	gx
狗	gz
猫	mq
一	yj
真	ve
下	xx
但	da
叫	jl
很	ho
比	bg
呢	nr
最	zf
更	gf
地	dt
地	drt
等	dy
吃	i
像	xe
后	hr
时	ub
只	vg
点	dp
先	xr
话	hg
与	ys
快	kf
玩	wp
当	du
已	yg
问	wo
完	wpb
以	ygr
将	jy
您	nc
找	vx
爱	ao
太	to
谁	ur
才	cd
年	nv
新	xh
跟	ge
别	bs
学	xi
哇	wl
按	aa
哎	ab
前	qv
睡	uf
加	jd
所	s
为	wr
为	wkd
可	kl
出	ia
该	gb
向	xep
却	qd
哦	o
小	xl
天	tr
高	gq
买	mu
呀	ylk
刚	gu
事	ut
好	hvn
坏	hft
发	f
全	qo
开	kb
万	wa
之	vj
心	xhd
帮	bu
回	hw
牛	nm
家	jdb
长	iw
月	yd
卖	mo
岁	sf
成	if
唉	aok
跑	p
走	zz
早	zx
连	lv
滴	dj
越	ydz
无	wla
阿	al
送	sy
分	fe
黑	hi
额	ee
妈	mln
换	hc
们	me
难	np
同	tj
祝	vh
恩	eex
干	ga
算	sc
路	lh
并	bw
呗	bi
少	ux
猜	cb
放	fd
擦	cl
转	vs
错	cp
脸	lp
贴	tk
陪	pr
带	do
笑	xlv
敢	go
谱	pm
拿	nu
二	eh
煮	vm
鸡	jj
或	hp
书	ua
每	mj
画	hga
坐	zpt
咯	km
掉	dl
讲	ju
梦	mf
冷	ly
花	hs
于	ym
手	uz
咋	zm
哟	yp
爆	bv
站	va
变	ba
看	kno
哥	gr
版	bo
水	uv
起	qg
图	tlk
弄	ny
住	vhr
啦	ll
够	grj
咩	mk
累	lk
倒	dvr
肉	rr
毛	mi
神	usu
请	qw
拉	llf
肿	vn
听	te
内	nk
噢	op
唱	id
骂	mik
装	vw
三	sn
蛮	mp
腿	tv
正	vf
瘦	urb
卤	lm
俺	aor
老	lx
俩	ln
抱	bvf
忙	mw
超	iq
疼	tf
胖	pd
喔	wpk
车	ir
某	mz
第	dtv
教	jm
生	uc
中	vya
进	jv
假	jn
差	ii
忘	wd
热	ri
选	xs
啥	uu
微	wi
求	qm
若	rp
些	xk
久	jz
苦	kmc
米	mg
约	yu
飞	fi
吓	xxk
亲	qh
照	vv
赢	yn
饿	ei
读	dly
秒	mlh
信	xv
另	lw
儿	ek
靠	kv
聊	lu
远	ysz
懂	dn
羯	js
低	djr
呆	db
晒	uo
追	vt
见	ja
跳	tlz
挂	gg
哪	nmk
鸟	nl
呃	eik
挺	tw
贵	gfb
元	yo
摩	mem
疯	fc
张	vu
萌	mfc
头	ta
活	hl
行	xn
哒	dlk
次	ct
本	boa
骗	pa
店	dag
考	kx
歌	grq
喂	wk
强	qi
死	sg
收	uxw
贱	jab
噗	pak
恨	hox
撸	la
喵	mm
亮	le
弱	rpg
破	pg
哼	hck
拍	pb
躺	tp
抢	qu
吐	tm
日	rt
谈	tpy
饭	fa
帅	ufa
离	lb
号	hv
闹	nvm
办	bal
还	hoz
养	ypy
红	hj
猪	vaq
刷	usd
呐	nik
姐	jc
洗	xg
种	vy
喝	hrk
菜	co
如	rl
赞	za
丢	dz
捏	nkf
非	fia
粉	fo
怕	pi
坑	kc
总	zn
曾	cf
爹	dk
蛋	dai
型	xnt
咱	zpk
屎	ug
纸	vgs
杀	ul
自	ztp
白	bd
急	jb
催	ctr
吖	alk
改	guw
特	ti
包	bq
愿	yc
妹	mkn
唔	wlk
受	urv
抓	vsf
钱	qvj
者	vl
喷	pe
鱼	ymd
瞎	xd
此	cg
乱	lc
滚	god
呦	yx
晚	woo
留	lmt
晕	ygo
风	fcj
抽	ix
块	kft
怪	gfx
度	dh
戳	is
往	wpx
便	bar
楼	lam
党	dpx
咬	yxk
吹	it
练	las
删	un
条	tu
耶	ye
丫	ylb
系	xt
君	jg
丑	iz
件	jar
近	jvz
两	lua
雨	ysa
力	lt
面	ma
球	qmw
重	ij
火	hld
爬	pu
脚	jlo
管	gs
偶	oz
痛	ty
黄	hb
嘴	zv
戴	dog
情	qn
各	gi
门	ms
卡	kmb
倒	dxr
跪	gfz
道	dvz
病	bwb
边	br
搜	sx
短	dsu
混	hrd
指	vgf
翻	fn
词	cby
招	vq
尿	nlu
摸	mpf
嘤	yek
撒	sm
毁	hvj
顶	dw
马	mma
喊	hok
由	ya
悲	bix
组	zms
帖	tc
则	ze
爪	vgp
配	pk
乃	nup
斤	jh
秀	xo
伤	uur
喽	lxk
蓝	lpc
及	jbn
谢	xq
因	yh
泡	pv
未	wke
款	ks
定	dwb
深	ue
渣	vld
粗	ca
咔	klk
爸	bif
输	uai
床	ib
碗	wou
外	wox
宅	vd
纯	ifs
熊	xkd
汗	ha
搭	dlf
药	yvc
使	ugr
感	gox
宫	gk
双	uw
演	yod
木	mh
粑	blm
班	bn
赚	vc
货	hpb
亿	yt
拼	ph
嗨	hbk
其	qb
名	mn
类	lkm
棒	bdm
王	ww
骑	qbm
片	pap
金	jhr
茶	iu
处	ih
砸	zu
查	ium
光	gw
气	qt
枪	qy
句	jf
扔	rc
